areaCode,areaName,areaType,date,newCasesByPublishDateChange
K02000001,United Kingdom,overview,2021-07-26,-69295
K02000001,United Kingdom,overview,2021-07-25,-48816
K02000001,United Kingdom,overview,2021-07-24,-13439
K02000001,United Kingdom,overview,2021-07-23,31747
K02000001,United Kingdom,overview,2021-07-22,63391
K02000001,United Kingdom,overview,2021-07-21,88040
K02000001,United Kingdom,overview,2021-07-20,95992
K02000001,United Kingdom,overview,2021-07-19,93981
K02000001,United Kingdom,overview,2021-07-18,95639
K02000001,United Kingdom,overview,2021-07-17,86774
K02000001,United Kingdom,overview,2021-07-16,71949
K02000001,United Kingdom,overview,2021-07-15,64368
K02000001,United Kingdom,overview,2021-07-14,52928
K02000001,United Kingdom,overview,2021-07-13,49654
K02000001,United Kingdom,overview,2021-07-12,50061
K02000001,United Kingdom,overview,2021-07-11,47390
K02000001,United Kingdom,overview,2021-07-10,49238
K02000001,United Kingdom,overview,2021-07-09,48371
K02000001,United Kingdom,overview,2021-07-08,51104
K02000001,United Kingdom,overview,2021-07-07,57828
K02000001,United Kingdom,overview,2021-07-06,61281
K02000001,United Kingdom,overview,2021-07-05,61841
K02000001,United Kingdom,overview,2021-07-04,69610
K02000001,United Kingdom,overview,2021-07-03,65830
K02000001,United Kingdom,overview,2021-07-02,67164
K02000001,United Kingdom,overview,2021-07-01,61183
K02000001,United Kingdom,overview,2021-06-30,55593
K02000001,United Kingdom,overview,2021-06-29,52740
K02000001,United Kingdom,overview,2021-06-28,47838
K02000001,United Kingdom,overview,2021-06-27,38494
K02000001,United Kingdom,overview,2021-06-26,34696
K02000001,United Kingdom,overview,2021-06-25,29330
K02000001,United Kingdom,overview,2021-06-24,26347
K02000001,United Kingdom,overview,2021-06-23,24265
K02000001,United Kingdom,overview,2021-06-22,18700
K02000001,United Kingdom,overview,2021-06-21,16373
K02000001,United Kingdom,overview,2021-06-20,15541
K02000001,United Kingdom,overview,2021-06-19,15896
K02000001,United Kingdom,overview,2021-06-18,15286
K02000001,United Kingdom,overview,2021-06-17,14822
K02000001,United Kingdom,overview,2021-06-16,13327
K02000001,United Kingdom,overview,2021-06-15,15022
K02000001,United Kingdom,overview,2021-06-14,16280
K02000001,United Kingdom,overview,2021-06-13,16521
K02000001,United Kingdom,overview,2021-06-12,16473
K02000001,United Kingdom,overview,2021-06-11,16867
K02000001,United Kingdom,overview,2021-06-10,17036
K02000001,United Kingdom,overview,2021-06-09,16649
K02000001,United Kingdom,overview,2021-06-08,14589
K02000001,United Kingdom,overview,2021-06-07,12378
K02000001,United Kingdom,overview,2021-06-06,11022
K02000001,United Kingdom,overview,2021-06-05,9926
K02000001,United Kingdom,overview,2021-06-04,8263
K02000001,United Kingdom,overview,2021-06-03,7560
K02000001,United Kingdom,overview,2021-06-02,6496
K02000001,United Kingdom,overview,2021-06-01,5830
K02000001,United Kingdom,overview,2021-05-31,5239
K02000001,United Kingdom,overview,2021-05-30,4755
K02000001,United Kingdom,overview,2021-05-29,4059
K02000001,United Kingdom,overview,2021-05-28,4022
K02000001,United Kingdom,overview,2021-05-27,3305
K02000001,United Kingdom,overview,2021-05-26,2854
K02000001,United Kingdom,overview,2021-05-25,2782
K02000001,United Kingdom,overview,2021-05-24,2639
K02000001,United Kingdom,overview,2021-05-23,1801
K02000001,United Kingdom,overview,2021-05-22,1648
K02000001,United Kingdom,overview,2021-05-21,961
K02000001,United Kingdom,overview,2021-05-20,28
K02000001,United Kingdom,overview,2021-05-19,-145
K02000001,United Kingdom,overview,2021-05-18,-417
K02000001,United Kingdom,overview,2021-05-17,173
K02000001,United Kingdom,overview,2021-05-16,1259
K02000001,United Kingdom,overview,2021-05-15,1202
K02000001,United Kingdom,overview,2021-05-14,1362
K02000001,United Kingdom,overview,2021-05-13,1768
K02000001,United Kingdom,overview,2021-05-12,1892
K02000001,United Kingdom,overview,2021-05-11,1730
K02000001,United Kingdom,overview,2021-05-10,463
K02000001,United Kingdom,overview,2021-05-09,-660
K02000001,United Kingdom,overview,2021-05-08,-800
K02000001,United Kingdom,overview,2021-05-07,-1094
K02000001,United Kingdom,overview,2021-05-06,-1500
K02000001,United Kingdom,overview,2021-05-05,-1952
K02000001,United Kingdom,overview,2021-05-04,-2160
K02000001,United Kingdom,overview,2021-05-03,-1260
K02000001,United Kingdom,overview,2021-05-02,-1744
K02000001,United Kingdom,overview,2021-05-01,-1873
K02000001,United Kingdom,overview,2021-04-30,-1864
K02000001,United Kingdom,overview,2021-04-29,-1485
K02000001,United Kingdom,overview,2021-04-28,-1144
K02000001,United Kingdom,overview,2021-04-27,-1009
K02000001,United Kingdom,overview,2021-04-26,-1118
K02000001,United Kingdom,overview,2021-04-25,-824
K02000001,United Kingdom,overview,2021-04-24,-502
K02000001,United Kingdom,overview,2021-04-23,-740
K02000001,United Kingdom,overview,2021-04-22,-1376
K02000001,United Kingdom,overview,2021-04-21,-1791
K02000001,United Kingdom,overview,2021-04-20,-1968
K02000001,United Kingdom,overview,2021-04-19,-1927
